title,product_link,price,rating,review_count,delivery,stock_status,sponsored
N/A,N/A,"$2,197.00",4.9,32,"Fri, 10 Jan",In Stock,True
N/A,N/A,$627.26,5.0,2,,In Stock,True
N/A,N/A,"$1,050.00",N/A,0,"Fri, 10 Jan",Only 3 left in stock.,True
N/A,N/A,"$3,044.00",4.9,63,"Fri, 10 Jan",Only 1 left in stock.,True
N/A,N/A,$999.00,4.2,564,"Fri, 10 Jan",Only 1 left in stock.,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,"$2,969.00",N/A,0,,In Stock,False
N/A,N/A,$780.00,2.8,3,"Fri, 10 Jan",In Stock,False
N/A,N/A,"$2,447.00",N/A,0,,In Stock,False
N/A,N/A,"$2,999.00",4.8,7,"Thu, 16 Jan",Only 5 left in stock.,False
N/A,N/A,"$2,899.00",4.8,7,"Fri, 10 Jan",Only 1 left in stock.,False
N/A,N/A,"$5,975.00",4.8,7,"Thu, 16 Jan",Only 4 left in stock.,False
N/A,N/A,$639.00,3.6,"2,298",21 - 22 Jan,In Stock,False
N/A,N/A,$849.00,5.0,1,"Fri, 10 Jan",Only 2 left in stock.,False
N/A,N/A,"$3,524.00",5.0,4,"Fri, 10 Jan",Only 2 left in stock.,False
N/A,N/A,N/A,4.8,7,N/A,In Stock,False
N/A,N/A,"$2,675.00",4.8,7,"Thu, 16 Jan",Only 3 left in stock.,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,5.0,1,N/A,In Stock,False
N/A,N/A,"$2,699.00",4.8,7,"Thu, 16 Jan",Only 5 left in stock.,False
N/A,N/A,"$3,595.00",4.6,68,"Fri, 10 Jan",Only 3 left in stock.,True
N/A,N/A,"$1,999.00",4.6,72,"Fri, 10 Jan",In Stock,True
N/A,N/A,"$1,218.00",4.8,55,"Fri, 10 Jan",In Stock,True
N/A,N/A,"$2,329.00",4.9,54,"Wed, 15 Jan",Only 1 left in stock.,True
N/A,N/A,N/A,5.0,4,N/A,In Stock,False
N/A,N/A,"$4,394.00",5.0,4,"Fri, 10 Jan",Only 3 left in stock.,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,$679.00,N/A,0,21 - 22 Jan,In Stock,False
N/A,N/A,"$1,099.00",5.0,1,21 - 22 Jan,In Stock,False
N/A,N/A,"$4,394.00",5.0,4,"Fri, 10 Jan",Only 3 left in stock.,False
N/A,N/A,$879.00,1.0,1,21 - 22 Jan,Only 1 left in stock.,False
N/A,N/A,$799.00,1.0,1,21 - 22 Jan,In Stock,False
N/A,N/A,$799.00,5.0,1,21 - 22 Jan,In Stock,False
N/A,N/A,"$1,099.00",N/A,0,21 - 22 Jan,Only 5 left in stock.,False
N/A,N/A,"$3,595.00",4.6,68,"Fri, 10 Jan",Only 3 left in stock.,False
N/A,N/A,"$4,175.00",5.0,4,"Thu, 16 Jan",Only 4 left in stock.,False
N/A,N/A,"$3,499.00",5.0,4,16 - 17 Jan,Only 1 left in stock.,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,"$4,947.00",N/A,0,,In Stock,False
N/A,N/A,"$4,286.13",4.8,7,"Fri, 10 Jan",Only 4 left in stock.,False
N/A,N/A,"$6,875.00",4.8,7,"Thu, 16 Jan",Only 3 left in stock.,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,"$4,408.00",4.8,7,"Fri, 10 Jan",In Stock,False
N/A,N/A,"$5,975.00",4.8,7,"Thu, 16 Jan",Only 5 left in stock.,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,"$6,875.00",4.8,7,"Thu, 16 Jan",Only 2 left in stock.,False
N/A,N/A,N/A,4.9,43,N/A,In Stock,False
N/A,N/A,"$1,582.40",4.6,133,16 - 17 Jan,In Stock,False
N/A,N/A,N/A,4.8,7,N/A,In Stock,False
N/A,N/A,$769.52,4.3,59,,Only 5 left in stock.,False
N/A,N/A,"$1,622.80",4.6,133,16 - 17 Jan,In Stock,False
N/A,N/A,"$2,447.00",4.0,9,"Fri, 10 Jan",In Stock,False
N/A,N/A,"$1,499.00",4.6,133,"Thu, 16 Jan",Only 5 left in stock.,False
N/A,N/A,"$1,599.00",4.6,133,"Thu, 16 Jan",Only 3 left in stock.,False
N/A,N/A,"$2,197.00",4.9,32,"Fri, 10 Jan",In Stock,False
N/A,N/A,"$2,499.00",4.9,32,"Fri, 10 Jan",Only 4 left in stock.,True
N/A,N/A,"$2,899.00",4.8,7,"Fri, 10 Jan",Only 1 left in stock.,True
N/A,N/A,"$1,894.00",5.0,2,"Wed, 15 Jan",Only 1 left in stock.,True
N/A,N/A,"$3,494.00",4.9,54,"Fri, 10 Jan",Only 2 left in stock.,True
N/A,N/A,"$1,599.00",4.6,133,"Thu, 16 Jan",Only 4 left in stock.,False
N/A,N/A,$739.00,4.0,56,21 - 22 Jan,Only 5 left in stock.,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,4.6,133,N/A,In Stock,False
N/A,N/A,"$3,662.24",4.1,95,"Sat, 18 Jan",In Stock,False
N/A,N/A,$25.99,4.3,763,"Fri, 10 Jan",In Stock,False
N/A,N/A,$19.95,4.2,"1,712","Fri, 10 Jan",In Stock,False
N/A,N/A,$19.99,3.9,"2,825","Fri, 10 Jan",In Stock,False
N/A,N/A,$35.99,4.4,284,"Fri, 10 Jan",In Stock,False
N/A,N/A,$34.99,4.6,252,"Fri, 10 Jan",In Stock,False
N/A,N/A,$249.99,4.4,850,"Fri, 10 Jan",In Stock,False
N/A,N/A,$13.99,4.4,524,"Fri, 10 Jan",In Stock,False
N/A,N/A,$28.89,4.3,"1,167","Fri, 10 Jan",In Stock,False
N/A,N/A,$35.99,4.6,252,"Fri, 10 Jan",In Stock,False
N/A,N/A,$26.99,4.5,"12,926","Fri, 10 Jan",In Stock,False
N/A,N/A,$22.95,4.3,62,"Fri, 10 Jan",In Stock,False
N/A,N/A,"$2,147.00",4.6,72,"Fri, 10 Jan",In Stock,True
N/A,N/A,"$4,394.00",5.0,4,"Fri, 10 Jan",Only 3 left in stock.,True
N/A,N/A,"$4,286.13",4.8,7,"Fri, 10 Jan",Only 4 left in stock.,True
N/A,N/A,"$3,044.00",4.9,63,"Fri, 10 Jan",Only 2 left in stock.,True
N/A,N/A,$14.99,4.5,478,"Fri, 10 Jan",In Stock,False
N/A,N/A,$47.99,4.4,63,"Wed, 15 Jan",In Stock,False
N/A,N/A,$18.95,4.2,"21,147","Fri, 10 Jan",In Stock,False
N/A,N/A,$114.99,4.4,744,"Fri, 10 Jan",Only 5 left in stock.,False
N/A,N/A,$114.99,4.5,934,20 - 28 Jan,Only 5 left in stock.,False
N/A,N/A,$33.99,4.3,94,"Fri, 10 Jan",In Stock,False
N/A,N/A,$49.99,4.4,63,"Fri, 10 Jan",In Stock,False
N/A,N/A,$12.99,4.5,"11,849","Fri, 10 Jan",In Stock,False
N/A,N/A,$33.99,4.3,167,"Fri, 10 Jan",In Stock,False
