title,description,link,date,category,author,image_url,related_articles,content_preview
"Everton FC: Scott McLeod, Director of Communications and Engagement and Mike Gittins, Head of Data Science and Insight. Listen Now
Everton FC: Scott McLeod, Director of Communications and Engagement and Mike Gittins, Head of Data Science and Insight",Scott McLeod and Mike Gittins on new Everton stadium season tickets,https://www.bbc.co.uk/sounds/play/p0k0ywp4,2025-01-06 20:24:13,Technology,BBC News,,[],Scott McLeod and Mike Gittins on new Everton stadium season tickets
Different types of data - Working scientifically - KS3 Science - BBC Bitesize,Different types of data need to be presented in appropriate ways. Learn to present types of data with BBC Bitesize. For students between the ages of 11 and 14.,https://www.bbc.co.uk/bitesize/articles/zxkh6g8,2025-01-06 20:24:14,Technology,BBC News,,"[{""title"": ""Why you can trust the BBC"", ""url"": ""https://www.bbc.co.uk/news/help-41670342""}]",Different types of data need to be presented in appropriate ways. Learn to present types of data with BBC Bitesize. For students between the ages of 11 and 14.
New ways into the lucrative world of data science,How new software is aiding people from diverse backgrounds forge careers in the data science sector.,https://www.bbc.co.uk/news/business-59157040,2025-01-06 20:24:14,Technology,BBC News,,"[{""title"": ""Your account"", ""url"": ""https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/news/business-59157040""}, {""title"": ""Israel-Gaza war"", ""url"": ""https://www.bbc.co.uk/news/topics/c2vdnvdg6xxt""}, {""title"": ""War in Ukraine"", ""url"": ""https://www.bbc.co.uk/news/world-60525350""}]",How new software is aiding people from diverse backgrounds forge careers in the data science sector.
United appoint first director of data science,,https://www.bbc.co.uk/sport/articles/crydkxv1l50o,2025-01-06 20:24:15,Technology,BBC News,,"[{""title"": ""Why you can trust the BBC"", ""url"": ""https://www.bbc.co.uk/news/help-41670342""}]",
"Science In Action: Unethical data gathering in China. Listen Now
Science In Action: Unethical data gathering in China",Papers containing DNA data gathered from Chinese ethnic minorities are under scrutiny.,https://www.bbc.co.uk/sounds/play/w3ct4sdl,2025-01-06 20:24:16,Technology,BBC News,,[],Papers containing DNA data gathered from Chinese ethnic minorities are under scrutiny.
ONS data science campus to open in Newport,"A new economic and data campus in Newport will provide ""world-leading expertise in data science"".",https://www.bbc.co.uk/news/uk-wales-south-east-wales-39403059,2025-01-06 20:24:16,Technology,BBC News,,"[{""title"": ""Your account"", ""url"": ""https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/news/uk-wales-south-east-wales-39403059""}, {""title"": ""Israel-Gaza war"", ""url"": ""https://www.bbc.co.uk/news/topics/c2vdnvdg6xxt""}, {""title"": ""War in Ukraine"", ""url"": ""https://www.bbc.co.uk/news/world-60525350""}]","A new economic and data campus in Newport will provide ""world-leading expertise in data science""."
Mapping the perfect wine and cheese pairings - using data science,A University of Toronto professor has created an online graphic to explore wine and cheese pairings.,https://www.bbc.co.uk/news/world-us-canada-38333693,2025-01-06 20:24:18,Technology,BBC News,,"[{""title"": ""Your account"", ""url"": ""https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/news/world-us-canada-38333693""}, {""title"": ""Israel-Gaza war"", ""url"": ""https://www.bbc.co.uk/news/topics/c2vdnvdg6xxt""}, {""title"": ""War in Ukraine"", ""url"": ""https://www.bbc.co.uk/news/world-60525350""}]",A University of Toronto professor has created an online graphic to explore wine and cheese pairings.
"Using data science to make wine and cheese pairings. Watch Now
Using data science to make wine and cheese pairings",A University of Toronto lab has developed an online map to help find the best wine and cheese pairings using data visualisation software.,https://www.bbc.co.uk/news/world-us-canada-38399895,2025-01-06 20:24:19,Technology,BBC News,,"[{""title"": ""Your account"", ""url"": ""https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.co.uk/news/av/world-us-canada-38399895""}, {""title"": ""Israel-Gaza war"", ""url"": ""https://www.bbc.co.uk/news/topics/c2vdnvdg6xxt""}, {""title"": ""War in Ukraine"", ""url"": ""https://www.bbc.co.uk/news/world-60525350""}]",A University of Toronto lab has developed an online map to help find the best wine and cheese pairings using data visualisation software.
"More or Less: Detecting bad science with data. Listen Now
More or Less: Detecting bad science with data","Uncovering fraud, malpractice and incompetence in science",https://www.bbc.co.uk/sounds/play/w3ct5b6b,2025-01-06 20:24:20,Technology,BBC News,,[],"Uncovering fraud, malpractice and incompetence in science"
"More or Less: Behind the Stats: Detecting Bad Science with Data. Listen Now
More or Less: Behind the Stats: Detecting Bad Science with Data","Uncovering fraud, malpractice and incompetence in science",https://www.bbc.co.uk/sounds/play/p0fpb87t,2025-01-06 20:24:21,Technology,BBC News,,[],"Uncovering fraud, malpractice and incompetence in science"
"Bitesize GCSE Biology: Series 7: Exam techniques for science exams: 6. Data analysis and application. Listen Now
Bitesize GCSE Biology: Series 7: Exam techniques for science exams: 6. Data analysis and application",Data analysis and Application Questions with Dr Alex Lathbridge,https://www.bbc.co.uk/sounds/play/p0fbrstp,2025-01-06 20:24:25,Technology,BBC News,,[],Data analysis and Application Questions with Dr Alex Lathbridge
