title,product_link,price,rating,review_count,delivery,stock_status,sponsored
Apple,https://www.amazon.com/Apple-MacBook-Laptop-12-core-19-core/dp/B0BSHF7LLL,"$1,859.99",4.7,421,Energy efficiency,In Stock,False
Pre-owned Certified: Electronics,https://www.amazon.com/Apple-MacBook-16-Inch-Storage-2-6GHz/dp/B08CZT64VP,N/A,4.1,171,Pre-owned,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-12-core-16-core/dp/B0DM6ZP92H,"$2,228.99",4.8,154,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-10-core-16-core/dp/B0BSHDVBXZ,"$1,349.00",4.7,611,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-8-core-10-core/dp/B0CM5JLWJK,"$1,097.16",4.6,529,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNR92C1W,"$4,197.39",N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-11-core-14-core/dp/B0CM5JV26D,"$1,529.00",4.7,687,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Display-12-Core-18-Core/dp/B0CPN4WL82,"$3,049.00",5.0,2,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-14-Core-20-Core/dp/B0DNR7SZ88,"$2,699.00",N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNRJHZ55,"$4,599.00",N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-14-Core-20-Core/dp/B0DNR9BDDS,"$3,099.00",N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX23P36M,$945.55,4.8,75,Energy efficiency,In Stock,False
Pre-owned Certified: Electronics,https://www.amazon.com/Apple-MacBook-2-6GHz-9th-gen-processor/dp/B07XJZDDC5,N/A,3.9,20,Pre-owned,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNRCC4M6,"$4,199.00",N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-Chip-Late/dp/B0CRJ1FSKS,"$5,999.00",5.0,1,N/A,In Stock,False
