title,description,link,date,category,author,image_url,related_articles,content_preview
Man faces jail over AI-generated child abuse images,"Hugh Nelson, 27, made ""bespoke"" explicit images depicting children being harmed, a court heard.",https://www.bbc.co.uk/news/articles/c170gr4n94wo,2025-01-06 16:11:47,N/A,N/A,N/A,[],N/A
AI-generated nature walk highlights climate change,Walkers are provided with maps but are encouraged to use their intuition to move between waymarkers.,https://www.bbc.co.uk/news/articles/cwylrr8egpzo,2025-01-06 16:11:47,N/A,N/A,N/A,[],N/A
"India election: BBC journalist gets a call from AI-generated Trump. Watch Now
India election: BBC journalist gets a call from AI-generated Trump",The BBC got to see just how easy it is to create a fake phone call between two people.,https://www.bbc.co.uk/news/world-asia-india-68988192,2025-01-06 16:11:47,N/A,N/A,N/A,[],N/A
"Met Gala: BBC Verify examines fake Katy Perry AI-generated image. Watch Now
Met Gala: BBC Verify examines fake Katy Perry AI-generated image",Fake pictures of Katy Perry and other artists at the Met Gala went viral on social media.,https://www.bbc.co.uk/news/world-68973578,2025-01-06 16:11:47,N/A,N/A,N/A,[],N/A
"Met Gala: BBC Verify examines fake Katy Perry AI-generated image. Watch Now
Met Gala: BBC Verify examines fake Katy Perry AI-generated image",Fake pictures of Katy Perry and other artists at the Met Gala went viral on social media.,https://www.bbc.co.uk/news/world-68973448,2025-01-06 16:11:47,N/A,N/A,N/A,[],N/A
