title,product_link,price,rating,review_count,delivery,stock_status,sponsored
N/A,N/A,N/A,4.7,421,Energy efficiency,In Stock,False
N/A,N/A,N/A,4.1,171,Pre-owned,In Stock,False
N/A,N/A,N/A,4.8,154,N/A,In Stock,False
N/A,N/A,N/A,4.7,611,Energy efficiency,In Stock,False
N/A,N/A,N/A,4.6,529,Energy efficiency,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,4.7,687,Energy efficiency,In Stock,False
N/A,N/A,N/A,5.0,2,N/A,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,4.8,75,Energy efficiency,In Stock,False
N/A,N/A,N/A,3.9,20,Pre-owned,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,5.0,1,N/A,In Stock,False
N/A,N/A,N/A,4.7,2164,N/A,In Stock,False
N/A,N/A,$27.99,4.6,1800,N/A,In Stock,False
N/A,N/A,$129.99,4.3,891,N/A,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,"$1,149.99",4.1,136,N/A,In Stock,False
N/A,N/A,N/A,4.8,20870,Energy efficiency,In Stock,False
N/A,N/A,N/A,4.7,4955,Energy efficiency,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,3.9,3,N/A,In Stock,False
N/A,N/A,N/A,4.5,59,Energy efficiency,In Stock,False
N/A,N/A,N/A,4.8,517,Energy efficiency,In Stock,False
N/A,N/A,N/A,4.6,803,Energy efficiency,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,5.0,4,N/A,In Stock,False
N/A,N/A,N/A,4.6,613,Energy efficiency,In Stock,False
N/A,N/A,N/A,5.0,1,N/A,In Stock,False
N/A,N/A,N/A,4.7,372,Energy efficiency,In Stock,False
N/A,N/A,N/A,5.0,1,N/A,In Stock,False
N/A,N/A,N/A,4.8,75,Energy efficiency,In Stock,False
N/A,N/A,$55.99,4.1,37,N/A,In Stock,False
N/A,N/A,$36.99,4.3,256,N/A,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,$161.99,4.8,41,N/A,In Stock,False
N/A,N/A,N/A,5.0,6,N/A,In Stock,False
N/A,N/A,N/A,5.0,4,N/A,In Stock,False
N/A,N/A,N/A,4.8,2248,N/A,In Stock,False
N/A,N/A,N/A,4.2,9,N/A,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,N/A,N/A,0,N/A,In Stock,False
N/A,N/A,$899.49,4.1,49,N/A,Only 2 left in stock - order soon.,False
N/A,N/A,$969.99,4.2,184,Energy efficiency,Only 3 left in stock - order soon.,False
N/A,N/A,$33.99,4.5,101,N/A,In Stock,False
N/A,N/A,N/A,5.0,2,N/A,In Stock,False
N/A,N/A,N/A,4.8,11,N/A,In Stock,False
N/A,N/A,$109.99,4.6,2645,N/A,In Stock,False
N/A,N/A,$299.99,3.9,13,N/A,In Stock,False
N/A,N/A,N/A,4.5,36,Energy efficiency,In Stock,False
