title,description,link,date,category,author,image_url,related_articles,content_preview
Man faces jail over AI-generated child abuse images,A listener asks if generative AI will make creative jobs obsolete,https://www.bbc.co.uk/news/articles/c170gr4n94wo,2025-01-06 17:00:03,Technology,BBC News,[],[],A listener asks if generative AI will make creative jobs obsolete Astronomer Royal Lord Rees and AI expert Nina Schick discuss
AI-generated nature walk highlights climate change,Walkers are provided with maps but are encouraged to use their intuition to move between waymarkers.,https://www.bbc.co.uk/news/articles/cwylrr8egpzo,2025-01-06 17:00:07,Technology,BBC News,[],[],Walkers are provided with maps but are encouraged to use their intuition to move between waymarkers.
"India election: BBC journalist gets a call from AI-generated Trump. Watch Now
India election: BBC journalist gets a call from AI-generated Trump",The BBC got to see just how easy it is to create a fake phone call between two people.,https://www.bbc.co.uk/news/world-asia-india-68988192,2025-01-06 17:00:11,Technology,BBC News,[],[],The BBC got to see just how easy it is to create a fake phone call between two people.
"Met Gala: BBC Verify examines fake Katy Perry AI-generated image. Watch Now
Met Gala: BBC Verify examines fake Katy Perry AI-generated image",Fake pictures of Katy Perry and other artists at the Met Gala went viral on social media.,https://www.bbc.co.uk/news/world-68973578,2025-01-06 17:00:16,Technology,BBC News,[],[],Fake pictures of Katy Perry and other artists at the Met Gala went viral on social media.
"Met Gala: BBC Verify examines fake Katy Perry AI-generated image. Watch Now
Met Gala: BBC Verify examines fake Katy Perry AI-generated image",Fake pictures of Katy Perry and other artists at the Met Gala went viral on social media.,https://www.bbc.co.uk/news/world-68973448,2025-01-06 17:00:20,Technology,BBC News,[],[],Fake pictures of Katy Perry and other artists at the Met Gala went viral on social media.
