title,product_link,price,rating,review_count,delivery,stock_status,sponsored
"Apple2023 MacBook Pro Laptop with Apple M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2 - inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver",https://www.amazon.com/Apple-MacBook-Laptop-12-core-19-core/dp/B0BSHF7LLL,"$1,859.99",4.7,421,Energy efficiency,In Stock,False
"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16 - Inch, 16GB RAM, 512GB Storage) - Silver (Renewed)",https://www.amazon.com/Apple-MacBook-16-Inch-Storage-2-6GHz/dp/B08CZT64VP,N/A,4.1,171,Pre-owned,In Stock,False
"Apple2023 MacBook Pro Laptop with Apple M2 Pro chip with 10‑core CPU and 16‑core GPU: 14.2 - inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Gray",https://www.amazon.com/Apple-MacBook-Laptop-10-core-16-core/dp/B0BSHDVBXZ,"$1,349.00",4.7,611,Energy efficiency,In Stock,False
"Apple2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2 - inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage; Silver",https://www.amazon.com/Apple-MacBook-Laptop-8-core-10-core/dp/B0CM5JLWJK,"$1,097.16",4.6,529,Energy efficiency,In Stock,False
"AppleMacBook Pro 16.2 with M4 Max Chip, Late 2024 - 16 - Core / 40 - Core, Space Black, Standard Display, 64GB, 1TB SSD",https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNR92C1W,"$4,197.39",N/A,0,N/A,In Stock,False
"Apple2023 MacBook Pro Laptop M3 Pro chip with 11‑core CPU, 14‑core GPU: Built for Apple Intelligence, 14.2 - inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage; Space Black",https://www.amazon.com/Apple-MacBook-Laptop-11-core-14-core/dp/B0CM5JV26D,"$1,529.00",4.7,687,Energy efficiency,In Stock,False
"AppleMacBook Pro 16.2 with Liquid Retina XDR Display, M3 Pro Chip with 12 - Core CPU and 18 - Core GPU, 36GB Memory, 1TB SSD, Space Black, Late 2023",https://www.amazon.com/Apple-MacBook-Display-12-Core-18-Core/dp/B0CPN4WL82,"$3,049.00",5.0,2,N/A,In Stock,False
"AppleMacBook Pro 16.2, M4 Pro Chip with 14 - Core CPU and 20 - Core GPU, Late 2024 - Silver, Standard Display, 24GB, 1TB SSD",https://www.amazon.com/Apple-MacBook-16-2-14-Core-20-Core/dp/B0DNR7SZ88,"$2,699.00",N/A,0,N/A,In Stock,False
"AppleMacBook Pro 16.2 with M4 Max Chip, Late 2024 - 16 - Core / 40 - Core, Space Black, Standard Display, 64GB, 2TB SSD",https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNRJHZ55,"$4,599.00",N/A,0,N/A,In Stock,False
"AppleMacBook Pro 16.2, M4 Pro Chip with 14 - Core CPU and 20 - Core GPU, Late 2024 - Space Black, Standard Display, 48GB, 1TB SSD",https://www.amazon.com/Apple-MacBook-16-2-14-Core-20-Core/dp/B0DNR9BDDS,"$3,099.00",N/A,0,N/A,In Stock,False
"Apple MacBook Pro with 2.6GHz Intel Core i7 (15 inch, 16GB RAM, 256GB SSD) Silver (Renewed)",https://www.amazon.com/Apple-MacBook-2-6GHz-9th-gen-processor/dp/B07XJZDDC5,N/A,3.9,20,Pre-owned,In Stock,False
"Apple2024 MacBook Air 15 - inch Laptop with M3 chip: Built for Apple Intelligence, 15.3 - inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, Touch ID; Silver",https://www.amazon.com/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX23P36M,$945.55,4.8,75,Energy efficiency,In Stock,False
"AppleMacBook Pro 16.2 with M4 Max Chip, Late 2024 - 16 - Core / 40 - Core, Silver, Standard Display, 64GB, 1TB SSD",https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNRCC4M6,"$4,199.00",N/A,0,N/A,In Stock,False
