title,product_link,price,rating,review_count,delivery,stock_status,sponsored
Apple,https://www.amazon.com/Apple-2022-MacBook-Laptop-chip/dp/B0DLHCWH55,N/A,4.6,803,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-16%E2%80%91core-40%E2%80%91core/dp/B0DN3JM19J,N/A,N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Display-16-Core-40-Core/dp/B0CPMZKNYW,N/A,5.0,4,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-2024-MacBook-13-inch-Laptop/dp/B0DLHG1HML,N/A,4.6,613,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-CTO-MacBook-Pro-16/dp/B0CPN1TBB8,N/A,5.0,1,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-14%E2%80%91core-30%E2%80%91core/dp/B0CM5MKMD4,N/A,4.7,372,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-14-MacBook-Pro-Space/dp/B0DFF7W3SQ,N/A,5.0,1,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX23P9S7,N/A,4.8,75,Energy efficiency,In Stock,False
Plugable,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NzE5MDM3MTEwMzYzMjI0OjE3MzU4NjMxMTI6c3BfYXRmX25leHQ6MzAwMzY2NDM4MTU0NjAyOjowOjo&url=%2FPlugable-Universal-Laptop-Docking-Station-Usb-C-Triple-Display%2Fdp%2FB01FKTZLBS%2Fref%3Dsr_1_33_sspa%3Fdib%3DeyJ2IjoiMSJ9.HGwk5tN6Sq0IFEQgyLW7v9oSj5MDk9RY5Q_ufueZqbeGqjEuunz07JowCqg4CPyUZGAtp1DgOK-j_3Wi9F_PtuQBc9ARMtZ8hYXx0zGT5Fk0_Xc_CaOkck0eI0NMqs8PKt0o8NKy3u2wD-mvQFEzDaje6jhU7ULRBwR8-9Kg2vSNDw6Y_GyznFRf8zFUr8yB0dXSL2cG1gQxgjcAgaSrwx2JV3Ypyb2-7t-Aly-WDws.t59uzBD7CVwRG4aYPIq8UOkIi3IqXiYIx0P1LqXYwjw%26dib_tag%3Dse%26keywords%3DMacbook%2BPro%26qid%3D1735863112%26sr%3D8-33-spons%26xpid%3DeEs_xTX1C_JI6%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,$169.95,4.4,1295,"Delivery Wed, Jan 15",In Stock,False
BENFEI,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NzE5MDM3MTEwMzYzMjI0OjE3MzU4NjMxMTI6c3BfYXRmX25leHQ6MjAwMTQ3NzUxODAwMDk4OjowOjo&url=%2FDisplayPort-Adapter-Compatible-Microsoft-Projector%2Fdp%2FB07JDWR6W9%2Fref%3Dsr_1_34_sspa%3Fdib%3DeyJ2IjoiMSJ9.HGwk5tN6Sq0IFEQgyLW7v9oSj5MDk9RY5Q_ufueZqbeGqjEuunz07JowCqg4CPyUZGAtp1DgOK-j_3Wi9F_PtuQBc9ARMtZ8hYXx0zGT5Fk0_Xc_CaOkck0eI0NMqs8PKt0o8NKy3u2wD-mvQFEzDaje6jhU7ULRBwR8-9Kg2vSNDw6Y_GyznFRf8zFUr8yB0dXSL2cG1gQxgjcAgaSrwx2JV3Ypyb2-7t-Aly-WDws.t59uzBD7CVwRG4aYPIq8UOkIi3IqXiYIx0P1LqXYwjw%26dib_tag%3Dse%26keywords%3DMacbook%2BPro%26qid%3D1735863112%26sr%3D8-34-spons%26xpid%3DeEs_xTX1C_JI6%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,$9.59,4.6,16204,"Delivery Wed, Jan 15",In Stock,False
